Member_ID,Name,Age,Business_Type,Monthly_Income,Loan_Amount,Loan_Term_Months,Credit_Score,Repayment_Status,Borrower_Reliability
MBR1075,Member_76,23,Retail,15966,41208,6,482,Delayed,Low
MBR1076,Member_77,39,Services,38621,25150,12,394,On-Time,Low
MBR1077,Member_78,27,Agriculture,33312,76180,18,673,Delayed,Medium
MBR1078,Member_79,21,Other,27677,48286,18,819,On-Time,High
MBR1079,Member_80,39,Manufacturing,36289,73450,6,659,On-Time,Medium
MBR1080,Member_81,35,Agriculture,36024,26352,6,580,On-Time,Medium
MBR1081,Member_82,43,Manufacturing,9777,60069,12,494,Delayed,Low
MBR1082,Member_83,29,Services,34749,19397,12,494,Delayed,Low
MBR1083,Member_84,19,Services,20338,46555,18,392,On-Time,Low
MBR1084,Member_85,27,Retail,7491,51959,24,360,On-Time,Low
MBR1085,Member_86,21,Other,32236,5728,18,350,Delayed,Low
MBR1086,Member_87,31,Manufacturing,19599,55517,6,702,On-Time,High
MBR1087,Member_88,33,Agriculture,24508,71234,18,304,Delayed,Low
MBR1088,Member_89,32,Services,8051,44954,24,765,On-Time,High
MBR1089,Member_90,25,Retail,26606,52280,12,833,On-Time,High
MBR1090,Member_91,31,Retail,26699,84459,24,704,On-Time,High
MBR1091,Member_92,40,Manufacturing,5876,21779,24,812,On-Time,High
MBR1092,Member_93,42,Services,37093,68932,24,532,Delayed,Low
MBR1093,Member_94,25,Other,9142,77936,12,823,On-Time,High
MBR1094,Member_95,38,Services,20202,29466,24,645,On-Time,Medium
MBR1095,Member_96,33,Manufacturing,12079,41939,24,345,Delayed,Low
MBR1096,Member_97,30,Manufacturing,12987,74896,24,845,On-Time,High
MBR1097,Member_98,35,Services,33940,40270,6,377,On-Time,Low
MBR1098,Member_99,32,Manufacturing,22019,64163,24,372,Defaulted,Low
MBR1099,Member_100,38,Services,23077,87637,12,548,Delayed,Low
MBR1100,Member_101,41,Agriculture,31258,56934,24,346,On-Time,Low
MBR1101,Member_102,43,Services,26136,69895,24,420,Defaulted,Low
MBR1102,Member_103,42,Services,13311,37307,12,513,Delayed,Low
MBR1103,Member_104,30,Manufacturing,22214,59098,24,538,On-Time,Low
MBR1104,Member_105,26,Manufacturing,19098,65921,12,355,On-Time,Low
MBR1105,Member_106,32,Retail,33251,10486,24,649,Delayed,Medium
MBR1106,Member_107,30,Retail,30945,13335,12,406,Delayed,Low
MBR1107,Member_108,18,Agriculture,30316,91900,24,347,On-Time,Low
MBR1108,Member_109,42,Retail,37217,94112,24,636,Delayed,Medium
MBR1109,Member_110,24,Services,13308,16130,6,325,Delayed,Low
MBR1110,Member_111,26,Manufacturing,10949,92508,6,556,On-Time,Medium
MBR1111,Member_112,41,Retail,6150,65566,24,307,On-Time,Low
MBR1112,Member_113,18,Retail,28944,71703,24,552,On-Time,Medium
MBR1113,Member_114,29,Agriculture,39699,32192,18,602,Delayed,Medium
MBR1114,Member_115,25,Agriculture,14204,6062,12,355,On-Time,Low
MBR1115,Member_116,41,Services,6081,89076,18,825,On-Time,High
MBR1116,Member_117,28,Manufacturing,34305,94780,6,773,Delayed,High
MBR1117,Member_118,36,Agriculture,21896,26545,6,327,Delayed,Low
MBR1118,Member_119,34,Retail,12805,26689,6,377,On-Time,Low
MBR1119,Member_120,25,Manufacturing,10237,16174,6,515,Delayed,Low
MBR1120,Member_121,20,Manufacturing,25056,93461,24,685,On-Time,Medium
MBR1121,Member_122,20,Retail,8343,14348,6,664,Delayed,Medium
MBR1122,Member_123,18,Agriculture,18500,28714,24,825,On-Time,High
MBR1123,Member_124,44,Retail,34375,43102,24,611,On-Time,Medium
MBR1124,Member_125,22,Manufacturing,14662,79460,6,306,Delayed,Low
MBR1125,Member_126,27,Other,21964,94930,6,302,On-Time,Low
MBR1126,Member_127,24,Other,13130,11801,12,662,On-Time,Medium
MBR1127,Member_128,43,Services,24531,77267,18,807,Delayed,High
MBR1128,Member_129,26,Retail,6679,53136,6,573,Delayed,Medium
MBR1129,Member_130,24,Retail,8506,28625,12,805,Delayed,High
MBR1130,Member_131,26,Services,18284,87873,12,314,Delayed,Low
MBR1131,Member_132,25,Services,12253,77592,18,491,On-Time,Low
MBR1132,Member_133,29,Services,24128,82052,24,784,On-Time,High
MBR1133,Member_134,19,Manufacturing,32932,49261,6,327,On-Time,Low
MBR1134,Member_135,18,Retail,14435,6542,18,338,On-Time,Low
MBR1135,Member_136,33,Manufacturing,18296,26677,6,572,Defaulted,Medium
MBR1136,Member_137,40,Services,35445,51732,12,530,On-Time,Low
MBR1137,Member_138,40,Retail,18245,55343,12,385,On-Time,Low
MBR1138,Member_139,41,Manufacturing,34124,44081,24,773,On-Time,High
MBR1139,Member_140,22,Manufacturing,34899,67856,12,425,Defaulted,Low
MBR1140,Member_141,20,Services,34222,98105,12,836,On-Time,High
MBR1141,Member_142,29,Retail,31211,93858,18,444,On-Time,Low
MBR1142,Member_143,25,Services,31646,24065,6,824,On-Time,High
MBR1143,Member_144,39,Retail,28049,88460,6,511,Delayed,Low
MBR1144,Member_145,44,Other,19069,93092,18,324,On-Time,Low
MBR1145,Member_146,20,Agriculture,37580,59693,24,693,Delayed,Medium
MBR1146,Member_147,18,Agriculture,36843,31962,6,366,Defaulted,Low
MBR1147,Member_148,20,Agriculture,7849,33295,12,532,On-Time,Low
MBR1148,Member_149,22,Services,28289,18807,6,408,Delayed,Low
MBR1149,Member_150,32,Other,14823,47348,12,445,Defaulted,Low
